true_label,choice,task,subject,file,trial_id
anger,anger,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21197
fear,happy,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5228
sad,sad,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13874
sad,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7907
surprise,surprise,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21992
anger,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2917
disgust,disgust,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6134
sad,sad,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23221
surprise,surprise,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13739
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1369
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15861
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,21108
sad,sad,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2192
fear,fear,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5285
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_194_P4_6_34.json,19581
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,816
sad,sad,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21346
anger,anger,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23425
neutral,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2871
happy,happy,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2885
neutral,neutral,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5686
neutral,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5848
fear,fear,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,7006
neutral,anger,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23119
sad,sad,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13803
neutral,anger,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25939
disgust,disgust,emotion,P6,2025-07-14_EmotionNoInverFP_285_P6_6_31.json,19982
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17253
