true_label,choice,task,subject,file,trial_id
5,5,identity,P1,2025-06-12_IdentityTexture_501_P1_0_30.json,3025
2,2,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32445
1,0,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,13012
1,5,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1858
1,1,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11393
2,2,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13186
6,6,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19102
2,2,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15472
7,7,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4634
2,2,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_6_55.json,29124
6,1,identity,P6,2025-07-14_IdentityNoInverFP_174_P6_7_03.json,26804
4,4,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10911
4,4,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28765
6,4,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19348
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9734
4,4,identity,P3,2025-07-14_IdentityNoInverFP_180_P3_7_48.json,26985
0,0,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15057
4,4,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30285
3,3,identity,P6,2025-07-14_IdentityNoInverFP_174_P6_7_03.json,26833
6,6,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9467
1,1,identity,P4,2025-07-16_IdentityNoInverFP_409_P4_4_00.json,33084
4,4,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4979
0,0,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4157
4,4,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9952
4,4,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1610
0,2,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1748
6,6,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9868
0,0,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17906
3,3,identity,P4,2025-07-16_IdentityNoInverFP_409_P4_4_00.json,32892
0,2,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4494
0,6,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_6_55.json,29172
4,4,identity,P1,2025-06-12_IdentityTexture_501_P1_0_40.json,3829
3,3,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_6_55.json,29295
6,6,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19067
3,3,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4141
4,4,identity,P3,2025-07-14_IdentityNoInverFP_180_P3_7_48.json,26980
6,6,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13278
0,0,identity,P4,2025-07-15_IdentityNoInverFP_295_P4_1_48.json,32004
1,1,identity,P1,2025-06-12_IdentityTexture_501_P1_0_40.json,3639
0,0,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4450
6,6,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_00.json,28340
2,0,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11954
0,4,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4479
4,4,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9416
4,1,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_7_21.json,30586
1,1,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11084
4,4,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_22.json,31950
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9792
3,3,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_00.json,31313
2,2,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_6_55.json,29177
6,6,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_7_25.json,29726
4,4,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19518
2,2,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4825
5,6,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_26.json,14765
1,1,identity,P6,2025-07-14_IdentityNoInverFP_185_P6_7_39.json,27333
5,5,identity,P1,2025-06-12_IdentityTexture_501_P1_0_30.json,3416
6,6,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11490
5,5,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30283
0,1,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_6_55.json,29363
0,0,identity,P1,2025-06-12_IdentityTexture_501_P1_0_30.json,3174
5,5,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18526
0,5,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13511
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9077
