true_label,choice,task,subject,file,trial_id
fear,disgust,emotion,Seojin,2025-07-14_EmotionNoInverFP_491_Seojin_6_31.json,21776
disgust,disgust,emotion,Ahana,2025-06-20_EmotionNoInverFP_501_Ahana_6_02.json,14038
anger,happy,emotion,Ahana,2025-06-12_EmotionTexture_501_Ahana_9_59.json,2656
fear,disgust,emotion,Ahana,2025-06-17_EmotionNoInver_479_Ahana_8_51.json,5511
sad,sad,emotion,Elias,2025-07-14_EmotionNoInverFP_501_Elias_6_03.json,24094
disgust,disgust,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_0_26.json,15648
disgust,disgust,emotion,Sreyas,2025-07-14_EmotionNoInverFP_454_Sreyas_6_26.json,21118
disgust,disgust,emotion,Seojin,2025-07-14_EmotionNoInverFP_501_Seojin_6_05.json,25722
fear,surprise,emotion,Ahana,2025-06-11_Emotion_501_Ahana_9_19.json,1145
happy,happy,emotion,Ahana,2025-06-17_EmotionNoInver_501_Ahana_7_46.json,5573
neutral,neutral,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,199
surprise,surprise,emotion,Ahana,2025-06-17_EmotionNoInver_501_Ahana_7_46.json,5603
anger,anger,emotion,Elias,2025-07-14_EmotionNoInverFP_501_Elias_6_03.json,24289
anger,anger,emotion,Ahana,2025-06-17_EmotionNoInver_479_Ahana_8_51.json,5244
happy,happy,emotion,Ahana,2025-06-17_Emotion_501_Ahana_5_34.json,8428
anger,neutral,emotion,Ahana,2025-06-17_EmotionTexture_501_Ahana_5_58.json,7096
fear,surprise,emotion,Ahana,2025-06-12_EmotionTexture_501_Ahana_9_46.json,2420
neutral,disgust,emotion,Ahana,2025-06-17_Emotion_501_Ahana_5_34.json,8058
disgust,disgust,emotion,Ahana,2025-06-11_Emotion_501_Ahana_8_32.json,192
neutral,neutral,emotion,Dan,2025-07-14_EmotionNoInverFP_288_Dan_6_36.json,20207
disgust,disgust,emotion,Parsa,2025-07-14_EmotionNoInverFP_501_Parsa_6_03.json,25244
surprise,surprise,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_0_26.json,15605
neutral,neutral,emotion,Dan,2025-07-14_EmotionNoInverFP_501_Dan_5_47.json,23269
happy,anger,emotion,Ahana,2025-06-12_EmotionTexture_501_Ahana_9_46.json,2256
sad,neutral,emotion,Ahana,2025-06-17_Emotion_501_Ahana_5_34.json,8420
fear,surprise,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_0_26.json,15873
happy,happy,emotion,Seojin,2025-07-14_EmotionNoInverFP_501_Seojin_6_05.json,25897
disgust,neutral,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_1_40.json,17506
disgust,disgust,emotion,Dan,2025-07-14_EmotionNoInverFP_288_Dan_6_36.json,20066
happy,happy,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_0_38.json,16254
anger,anger,emotion,Ahana,2025-06-12_EmotionTexture_501_Ahana_9_46.json,2168
neutral,neutral,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_1_40.json,17483
neutral,anger,emotion,Ahana,2025-06-17_EmotionTexture_501_Ahana_5_58.json,7376
sad,disgust,emotion,Ashley,2025-07-14_EmotionNoInverFP_501_Ashley_5_49.json,22490
surprise,surprise,emotion,Sreyas,2025-07-14_EmotionNoInverFP_501_Sreyas_6_04.json,26223
surprise,surprise,emotion,Ahana,2025-06-17_EmotionTexture_501_Ahana_5_58.json,7291
sad,sad,emotion,Sreyas,2025-07-14_EmotionNoInverFP_454_Sreyas_6_26.json,21525
surprise,surprise,emotion,Ahana,2025-06-11_Emotion_501_Ahana_9_19.json,1177
neutral,neutral,emotion,Ahana,2025-06-12_EmotionTexture_501_Ahana_9_59.json,2886
neutral,neutral,emotion,Jared,2025-07-14_EmotionNoInverFP_423_Jared_6_26.json,20876
happy,neutral,emotion,Ahana,2025-06-17_EmotionTexture_501_Ahana_6_10.json,7744
happy,happy,emotion,Ahana,2025-06-17_EmotionNoInver_501_Ahana_8_36.json,7003
surprise,surprise,emotion,Ahana,2025-07-07_EmotionNoInverFP_501_Ahana_0_26.json,15608
disgust,disgust,emotion,Ahana,2025-06-17_EmotionNoInver_501_Ahana_8_17.json,6492
anger,anger,emotion,Seojin,2025-07-14_EmotionNoInverFP_501_Seojin_6_05.json,26015
