true_label,choice,task,subject,file,trial_id
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,16012
disgust,anger,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25583
disgust,neutral,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20565
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13849
sad,sad,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24642
sad,sad,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14378
happy,happy,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25702
happy,happy,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23454
disgust,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2371
fear,happy,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1017
happy,happy,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20118
happy,happy,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7128
surprise,surprise,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20714
disgust,disgust,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22708
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24699
surprise,surprise,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23780
disgust,disgust,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22267
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16167
disgust,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15640
surprise,surprise,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21501
neutral,neutral,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23751
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5802
fear,fear,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5779
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,650
anger,anger,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14061
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6192
anger,sad,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24691
anger,neutral,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22566
anger,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7276
anger,anger,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20837
disgust,neutral,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,577
anger,anger,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23078
surprise,surprise,emotion,P6,2025-07-14_EmotionNoInverFP_285_P6_6_31.json,19909
happy,happy,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8278
surprise,surprise,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2202
disgust,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2723
disgust,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15685
neutral,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25619
neutral,neutral,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,183
neutral,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2172
disgust,disgust,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24070
disgust,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7638
fear,fear,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20498
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1119
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26221
surprise,surprise,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21816
neutral,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20200
happy,sad,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26407
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,237
fear,fear,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24679
happy,happy,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6994
anger,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6282
disgust,happy,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5166
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14396
surprise,surprise,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2074
surprise,happy,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7364
happy,happy,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25551
happy,happy,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25545
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,936
fear,fear,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24367
neutral,neutral,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25115
