true_label,choice,task,subject,file,trial_id
anger,anger,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25337
surprise,surprise,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21446
disgust,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2930
fear,fear,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20463
neutral,anger,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25180
anger,sad,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24824
fear,fear,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7267
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16772
sad,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7109
anger,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2024
fear,fear,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23688
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5884
anger,anger,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,8001
fear,fear,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5647
fear,fear,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24696
happy,happy,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16102
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5580
neutral,disgust,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14095
surprise,surprise,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14246
happy,happy,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21893
happy,fear,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,625
fear,disgust,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21658
happy,happy,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24206
happy,happy,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22446
surprise,surprise,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25164
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17059
neutral,neutral,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,689
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5391
disgust,surprise,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,90
fear,anger,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7204
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,645
happy,happy,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22657
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14234
fear,fear,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25175
sad,neutral,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22305
anger,anger,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20784
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23170
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1266
anger,anger,emotion,P6,2025-07-14_EmotionNoInverFP_285_P6_6_31.json,19911
happy,happy,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6624
sad,fear,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26321
sad,sad,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8396
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5352
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,52
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6982
neutral,fear,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24174
disgust,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6534
fear,fear,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13548
fear,fear,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22645
anger,fear,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26085
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1111
fear,fear,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22693
neutral,neutral,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1079
fear,fear,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,934
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24565
sad,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7324
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24994
neutral,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2207
