true_label,choice,task,subject,file,trial_id
surprise,surprise,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24473
anger,anger,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21168
sad,sad,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22380
disgust,disgust,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25616
fear,surprise,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5079
sad,sad,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24090
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6214
sad,sad,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,25025
neutral,neutral,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21561
fear,fear,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20559
surprise,surprise,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25819
fear,fear,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2199
surprise,surprise,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,21047
happy,happy,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21216
surprise,surprise,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26328
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16643
happy,disgust,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7336
anger,sad,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23347
fear,fear,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7658
neutral,neutral,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24076
fear,fear,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,187
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6441
happy,happy,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22876
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15918
happy,happy,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26077
sad,sad,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2204
anger,anger,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13952
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1223
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6528
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1214
anger,anger,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23402
disgust,disgust,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5597
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,192
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21518
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24085
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5658
sad,neutral,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8086
