true_label,choice,task,subject,file,trial_id
4,1,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_00.json,31064
0,0,identity,P6,2025-07-14_IdentityNoInverFP_185_P6_7_39.json,27312
4,4,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_5_46.json,18599
6,5,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19312
5,5,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_7_21.json,30498
0,0,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_00.json,28274
4,7,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12684
4,4,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19225
3,3,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1827
4,4,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_26.json,15002
6,6,identity,P4,2025-07-15_IdentityNoInverFP_295_P4_1_48.json,32073
0,0,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17999
1,1,identity,P1,2025-06-12_IdentityTexture_501_P1_0_40.json,3565
5,5,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_26.json,14773
2,2,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4907
6,6,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19401
4,4,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15079
5,5,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11469
3,6,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30466
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9177
2,2,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18373
7,7,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11792
1,1,identity,P1,2025-06-17_Identity_501_P1_4_41.json,12402
6,1,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_12.json,8878
1,1,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12554
3,3,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_6_55.json,29085
4,4,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15500
7,7,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11488
5,5,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12587
4,4,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15404
0,0,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19176
6,6,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19334
6,1,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9209
1,1,identity,P1,2025-06-12_IdentityTexture_501_P1_0_30.json,3349
0,0,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_00.json,31404
2,2,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17965
4,4,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32726
5,5,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11270
3,3,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17806
4,5,identity,P6,2025-07-14_IdentityNoInverFP_174_P6_7_03.json,26876
6,6,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12816
1,1,identity,P7,2025-07-14_IdentityNoInverFP_274_P7_7_45.json,27866
2,2,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13496
2,2,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15375
3,3,identity,P1,2025-06-17_IdentityNoInver_501_P1_9_58.json,10391
3,3,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11637
3,3,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4134
0,0,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_5_46.json,18968
3,3,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32390
6,6,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28674
7,7,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10891
0,0,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_5_46.json,18879
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9862
3,3,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4375
6,6,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_00.json,28044
5,5,identity,P1,2025-06-12_IdentityTexture_501_P1_0_30.json,3373
5,5,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10914
6,6,identity,P6,2025-07-14_IdentityNoInverFP_185_P6_7_39.json,27264
2,2,identity,P4,2025-07-15_IdentityNoInverFP_295_P4_1_48.json,32001
6,6,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17627
5,0,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18474
3,3,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12930
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9734
2,2,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10537
2,2,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17801
6,6,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30163
2,1,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9338
1,1,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15436
1,1,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32435
6,6,identity,P4,2025-07-16_IdentityNoInverFP_409_P4_4_00.json,32985
2,2,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1734
3,3,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9058
3,3,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30152
3,6,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18069
0,0,identity,P6,2025-07-14_IdentityNoInverFP_174_P6_7_03.json,26814
1,1,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17892
5,5,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,10009
5,5,identity,P4,2025-07-16_IdentityNoInverFP_409_P4_4_00.json,33086
1,0,identity,P4,2025-07-14_IdentityNoInverFP_172_P4_7_21.json,26642
3,3,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32337
7,7,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10717
0,3,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_00.json,31346
3,3,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19182
4,4,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11690
6,6,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15268
3,3,identity,P4,2025-07-16_IdentityNoInverFP_409_P4_4_00.json,33133
0,0,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17635
0,0,identity,P4,2025-07-15_IdentityNoInverFP_295_P4_1_48.json,32238
0,0,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_5_46.json,19015
1,1,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1860
4,4,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_7_21.json,30868
1,1,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28526
5,5,identity,P2,2025-07-14_IdentityNoInverFP_182_P2_7_40.json,27178
0,0,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28735
6,6,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15069
2,2,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4349
6,2,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4731
2,2,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30130
2,2,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10549
4,4,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1751
4,4,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11531
4,5,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17578
2,7,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1685
2,2,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9754
1,1,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19110
2,2,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10743
1,1,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11439
1,6,identity,P1,2025-06-12_IdentityTexture_501_P1_0_40.json,3641
0,0,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9506
6,6,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12948
4,4,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13463
4,5,identity,P1,2025-06-17_Identity_501_P1_4_41.json,12275
1,1,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_7_21.json,30910
6,6,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11057
6,6,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13069
3,3,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12741
2,2,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_22.json,31806
5,5,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_26.json,15026
2,2,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_7_25.json,29788
6,3,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_22.json,31882
7,2,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1583
0,1,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9135
4,4,identity,P1,2025-06-17_IdentityTexture_501_P1_6_26.json,11333
4,4,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4621
3,3,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10684
0,0,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_5_46.json,18545
3,3,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17903
6,6,identity,P1,2025-07-08_IdentityNoInverFP_501_P1_6_00.json,19203
5,5,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_6_34.json,12590
5,5,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18454
6,6,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4824
3,3,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1933
2,2,identity,P1,2025-06-12_IdentityTexture_501_P1_0_40.json,3562
1,1,identity,P1,2025-06-17_IdentityNoInver_501_P1_9_58.json,10288
4,4,identity,P4,2025-07-15_IdentityNoInverFP_501_P4_1_20.json,32523
1,1,identity,P1,2025-06-17_IdentityTexture_501_P1_5_03.json,10964
6,6,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9173
6,6,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30477
2,2,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11955
1,1,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_00.json,28220
3,6,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_00.json,31093
7,7,identity,P1,2025-06-17_IdentityNoInver_501_P1_9_58.json,10043
3,3,identity,P6,2025-07-14_IdentityNoInverFP_174_P6_7_03.json,26821
6,6,identity,P7,2025-07-14_IdentityNoInverFP_274_P7_7_45.json,27881
2,2,identity,P6,2025-07-14_IdentityNoInverFP_235_P6_7_24.json,27584
3,3,identity,P2,2025-07-14_IdentityNoInverFP_182_P2_7_40.json,27112
2,2,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28869
2,2,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17691
0,0,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_26.json,14718
4,4,identity,P1,2025-06-11_Identity_501_P1_0_25.json,1638
1,1,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_26.json,14734
0,0,identity,P3,2025-07-14_IdentityNoInverFP_501_P3_7_25.json,29752
6,6,identity,P6,2025-07-14_IdentityNoInverFP_174_P6_7_03.json,26885
7,7,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_32.json,9022
2,2,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_12.json,8875
1,1,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_7_21.json,30906
5,5,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18384
3,3,identity,P3,2025-07-14_IdentityNoInverFP_180_P3_7_48.json,27075
1,1,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_0_54.json,17616
7,2,identity,P1,2025-06-12_Identity_501_P1_5_53.json,4240
6,6,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4633
0,6,identity,P6,2025-07-14_IdentityNoInverFP_235_P6_7_24.json,27538
2,2,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13381
6,6,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_7_21.json,30974
1,6,identity,P1,2025-06-16_Identity_501_P1_0_06.json,4652
2,2,identity,P2,2025-07-14_IdentityNoInverFP_501_P2_7_20.json,28813
2,2,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18248
6,1,identity,P1,2025-06-18_IdentityNoInverRgCh_501_P1_7_57.json,13125
2,2,identity,P8,2025-07-14_IdentityNoInverFP_501_P8_7_00.json,31177
6,6,identity,P1,2025-06-17_Identity_501_P1_4_28.json,11717
5,5,identity,P1,2025-06-20_IdentityNoInverFP_501_P1_6_40.json,15468
1,1,identity,P1,2025-06-12_IdentityTexture_501_P1_0_40.json,3575
1,1,identity,P7,2025-07-14_IdentityNoInverFP_501_P7_6_57.json,30063
2,2,identity,P1,2025-07-07_IdentityNoInverFP_501_P1_1_07.json,18488
2,6,identity,P1,2025-06-17_IdentityNoInver_501_P1_0_45.json,9805
4,5,identity,P6,2025-07-14_IdentityNoInverFP_185_P6_7_39.json,27388
