true_label,choice,task,subject,file,trial_id
disgust,disgust,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2464
disgust,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23992
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6972
surprise,surprise,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24936
happy,happy,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5626
disgust,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6025
neutral,neutral,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20057
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16587
neutral,neutral,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7355
sad,sad,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7916
anger,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15614
fear,fear,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7135
anger,neutral,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1070
fear,fear,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8139
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6882
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,92
neutral,fear,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2657
sad,sad,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23966
happy,happy,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22307
happy,happy,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21571
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17067
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,160
happy,happy,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6543
sad,sad,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22669
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20403
