true_label,choice,task,subject,file,trial_id
fear,fear,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22381
neutral,neutral,emotion,P6,2025-07-14_EmotionNoInverFP_285_P6_6_31.json,19885
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6211
neutral,neutral,emotion,P6,2025-07-14_EmotionNoInverFP_501_P6_6_03.json,25128
neutral,happy,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21769
happy,happy,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2874
disgust,disgust,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,7560
disgust,anger,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22309
surprise,disgust,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5132
anger,anger,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26254
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24938
disgust,disgust,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26394
disgust,disgust,emotion,P1,2025-06-17_EmotionTexture_501_P1_6_10.json,8010
happy,happy,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25748
anger,anger,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2710
sad,sad,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24835
disgust,disgust,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21928
happy,happy,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25588
fear,happy,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1058
fear,happy,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20189
fear,fear,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20720
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,421
fear,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14347
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6441
happy,fear,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6369
disgust,disgust,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24190
sad,sad,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22598
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16941
fear,fear,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2103
happy,neutral,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23486
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,17017
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14152
sad,sad,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22369
neutral,neutral,emotion,P1,2025-06-17_EmotionNoInver_23_P1_9_36.json,5030
anger,anger,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21505
anger,anger,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24490
disgust,disgust,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14519
neutral,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21947
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6343
sad,sad,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2508
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16419
neutral,neutral,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2569
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20931
fear,happy,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16431
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5475
disgust,neutral,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8385
surprise,surprise,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13619
neutral,neutral,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23719
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17400
fear,fear,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24963
anger,anger,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14359
anger,anger,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1050
disgust,disgust,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21582
neutral,neutral,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20906
anger,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14278
fear,fear,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1199
neutral,neutral,emotion,P1,2025-06-17_EmotionNoInver_23_P1_9_36.json,5031
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17294
anger,disgust,emotion,P1,2025-06-17_Emotion_501_P1_5_34.json,8419
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1074
sad,sad,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20918
happy,happy,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2357
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16576
neutral,neutral,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_36.json,6813
fear,fear,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1055
sad,sad,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_59.json,2523
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17213
fear,happy,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20970
disgust,disgust,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,20751
sad,sad,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,501
fear,surprise,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5277
disgust,disgust,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13796
fear,fear,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5811
surprise,surprise,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5650
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26298
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,481
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16246
disgust,disgust,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21198
disgust,disgust,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,21061
disgust,disgust,emotion,P1,2025-06-11_Emotion_501_P1_9_05.json,876
disgust,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16224
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15863
fear,fear,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17164
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1393
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21137
happy,happy,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16473
sad,sad,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21140
disgust,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17306
happy,happy,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17219
surprise,happy,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23912
sad,sad,emotion,P4,2025-07-14_EmotionNoInverFP_384_P4_7_01.json,20635
surprise,surprise,emotion,P1,2025-06-17_EmotionTexture_501_P1_5_58.json,7228
disgust,fear,emotion,P7,2025-07-14_EmotionNoInverFP_491_P7_6_31.json,21635
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15827
disgust,disgust,emotion,P1,2025-06-17_EmotionNoInver_501_P1_8_17.json,6074
neutral,neutral,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,16981
anger,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17217
fear,fear,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21451
neutral,neutral,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_6_02.json,14128
disgust,neutral,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22080
neutral,neutral,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22224
anger,anger,emotion,P1,2025-06-17_EmotionNoInver_501_P1_7_46.json,5895
sad,sad,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_6_18.json,23752
sad,sad,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5383
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,171
surprise,surprise,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1140
anger,anger,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_5_49.json,22422
disgust,happy,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26515
fear,fear,emotion,P5,2025-07-14_EmotionNoInverFP_501_P5_6_00.json,24612
happy,sad,emotion,P1,2025-06-20_EmotionNoInverFP_501_P1_5_47.json,13983
anger,anger,emotion,P8,2025-07-14_EmotionNoInverFP_501_P8_6_04.json,26278
surprise,surprise,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_28.json,17009
disgust,disgust,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_38.json,16080
sad,sad,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_0_26.json,15845
sad,happy,emotion,P1,2025-06-11_Emotion_501_P1_8_32.json,100
disgust,neutral,emotion,P7,2025-07-14_EmotionNoInverFP_501_P7_6_05.json,25764
fear,surprise,emotion,P1,2025-06-17_EmotionNoInver_479_P1_8_51.json,5079
neutral,anger,emotion,P1,2025-07-07_EmotionNoInverFP_501_P1_1_40.json,17438
happy,happy,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23530
happy,happy,emotion,P5,2025-07-14_EmotionNoInverFP_423_P5_6_26.json,21105
neutral,surprise,emotion,P1,2025-06-12_EmotionTexture_501_P1_9_46.json,2265
sad,anger,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20124
happy,fear,emotion,P8,2025-07-14_EmotionNoInverFP_454_P8_6_26.json,21174
happy,happy,emotion,P3,2025-07-14_EmotionNoInverFP_288_P3_6_36.json,20118
fear,disgust,emotion,P3,2025-07-14_EmotionNoInverFP_501_P3_5_47.json,23328
surprise,surprise,emotion,P4,2025-07-14_EmotionNoInverFP_501_P4_6_03.json,24082
anger,sad,emotion,P1,2025-06-11_Emotion_501_P1_9_19.json,1187
sad,sad,emotion,P2,2025-07-14_EmotionNoInverFP_501_P2_6_19.json,22701
